Date,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Source_File
2005-09-01,85.77929155313352,708.0817438692098,493.40054495912807,120.34877384196186,558.2016348773842,447.9727520435968,monthly_daylight_avg_623099_40.01_-99.74_2005.csv
2005-10-01,61.94705882352941,769.7735294117647,422.8,102.09411764705882,525.5764705882353,352.0911764705882,monthly_daylight_avg_623099_40.01_-99.74_2005.csv
2005-11-01,53.79432624113476,790.968085106383,355.43617021276594,105.7872340425532,439.1595744680851,276.9255319148936,monthly_daylight_avg_623099_40.01_-99.74_2005.csv
2005-12-01,55.59498207885304,766.7204301075269,308.1362007168459,92.99283154121864,338.2939068100358,204.9390681003584,monthly_daylight_avg_623099_40.01_-99.74_2005.csv
2006-01-01,50.40338983050847,776.728813559322,325.7559322033898,99.16949152542372,452.9186440677966,265.1457627118644,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-02-01,64.13286713286713,824.7902097902098,427.0384615384616,131.6853146853147,467.54545454545456,347.7132867132867,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-03-01,82.78356164383561,776.4657534246576,501.25479452054793,130.23835616438356,417.986301369863,361.0849315068493,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-04-01,100.87403598971724,739.1156812339332,561.8766066838047,143.34190231362467,514.6272493573265,469.9254498714653,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-05-01,103.80135440180588,698.0496613995485,575.4469525959368,163.36568848758466,447.5349887133183,472.6975169300226,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-06-01,108.17111111111112,660.7444444444444,563.5511111111111,146.47333333333333,497.4222222222222,496.72,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-07-01,104.0964125560538,678.9192825112108,565.1121076233184,154.52466367713004,477.5919282511211,490.085201793722,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-08-01,93.68509615384616,700.0048076923077,544.4278846153846,152.65144230769232,450.61778846153845,445.9807692307692,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-09-01,84.49591280653951,723.4577656675749,500.0490463215259,119.57765667574932,510.1798365122616,412.7738419618528,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-10-01,66.76470588235294,756.464705882353,423.3382352941176,117.73529411764706,376.8764705882353,291.00882352941176,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-11-01,53.84397163120568,791.7872340425532,356.8191489361702,117.2836879432624,388.209219858156,273.0177304964539,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2006-12-01,53.18996415770609,750.1433691756272,301.42293906810033,89.57706093189964,341.34767025089604,209.47670250896056,monthly_daylight_avg_623099_40.01_-99.74_2006.csv
2007-01-01,58.13220338983051,779.8847457627119,334.5457627118644,69.89152542372881,554.5661016949152,269.16610169491526,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-02-01,73.64335664335664,796.2517482517483,424.7482517482517,107.2832167832168,385.86713286713285,283.4020979020979,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-03-01,73.8027397260274,779.4739726027398,491.4739726027397,143.27945205479452,432.9506849315068,377.7643835616439,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-04-01,114.83804627249356,710.4215938303342,559.9331619537276,162.280205655527,393.3367609254499,406.09768637532136,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-05-01,111.46049661399547,673.1354401805869,567.6343115124154,176.8374717832957,404.4356659142212,452.9841986455982,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-06-01,99.85555555555555,686.1288888888889,569.3266666666667,147.47333333333333,488.87111111111113,486.7844444444444,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-07-01,105.33557046979864,671.6263982102909,563.6979865771812,165.94630872483222,467.8523489932886,491.758389261745,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-08-01,101.81971153846152,674.6850961538462,537.6850961538462,144.19230769230768,488.6754807692308,467.1057692307692,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-09-01,84.4836956521739,714.1603260869565,495.6440217391304,121.29076086956522,516.8478260869565,418.6195652173913,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-10-01,62.38529411764706,767.7647058823529,423.9470588235294,78.13529411764706,552.1411764705882,334.2529411764706,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-11-01,53.706713780918726,796.303886925795,358.52296819787983,96.51943462897526,517.452296819788,305.53003533568904,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2007-12-01,58.07885304659498,758.9247311827957,308.921146953405,66.37275985663082,328.97849462365593,175.2078853046595,monthly_daylight_avg_623099_40.01_-99.74_2007.csv
2008-01-01,57.722033898305085,787.1966101694916,335.91525423728814,79.09491525423729,513.0101694915254,263.55254237288136,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-02-01,66.49300699300699,812.8111888111888,422.83916083916085,119.76923076923076,444.34615384615387,320.65734265734267,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-03-01,78.8224043715847,786.7076502732241,502.5655737704918,134.22677595628414,449.58469945355193,383.96448087431696,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-04-01,113.86410256410257,712.6692307692308,562.9282051282051,151.85641025641024,425.95897435897433,420.2717948717949,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-05-01,124.29345372460496,646.6681715575621,567.3363431151241,155.77200902934538,382.2370203160271,422.2392776523702,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-06-01,100.32444444444444,685.0044444444444,569.6866666666666,139.0288888888889,520.7444444444444,505.47777777777776,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-07-01,103.35650224215247,681.2982062780269,566.2466367713005,143.66816143497758,517.3811659192825,500.2466367713005,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-08-01,113.23614457831326,652.467469879518,536.3301204819277,171.95180722891567,384.4506024096386,408.3614457831325,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-09-01,85.76294277929155,712.8474114441417,494.7956403269755,119.26430517711172,501.9591280653951,407.2234332425068,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-10-01,65.74705882352941,752.6705882352941,419.2647058823529,79.95,492.8235294117647,313.6147058823529,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
