Date,Temperature (F),Price ($/Mcf),Imports (MMcf),Production (MMcf),Solar Generation (1000 MWh),Consumption (MMcf),Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Natural Gas Generation (1000 MWh),Natural Gas Avg Cost ($/Mcf)
2011-02-01,53.0,4.49,311154.0,81602.0,85.29854,483686.0,67.1958041958042,832.1468531468531,431.6958041958042,113.43006993006992,463.5,320.1048951048951,65923.98289,5.2
2011-03-01,52.96,4.24,315408.0,94508.0,122.29961,481926.0,88.41917808219178,747.972602739726,493.33698630136985,146.43835616438355,318.6438356164384,324.02465753424656,65947.12043,4.73
2011-04-01,52.85,4.35,277936.0,92549.0,164.00623,521453.0,110.41131105398458,715.719794344473,556.9203084832905,166.40359897172235,376.4730077120823,406.0616966580977,70028.99891,4.96
2011-05-01,52.79,4.31,271252.0,95845.0,190.66911,571998.0,109.30474040632056,687.4198645598194,574.1309255079007,170.62979683972912,389.6749435665914,440.647855530474,75242.79679,4.98
2011-06-01,52.73,4.6,266617.0,92247.0,222.77309,699414.0,121.48,629.8666666666667,557.0955555555555,169.59555555555556,452.74444444444447,490.5288888888889,90691.11156,5.15
2011-07-01,52.85,4.39,293477.0,95944.0,191.10153,938575.0,101.53691275167785,674.4519015659955,560.6308724832214,148.8791946308725,491.0402684563758,495.4228187919463,119623.59113,5.08
2011-08-01,52.93,4.4,280284.0,97069.0,229.16273,921449.0,94.7764423076923,694.3149038461538,541.5961538461538,144.99519230769232,511.7379807692308,474.0817307692308,119855.79257,4.83
2011-09-01,52.9,3.92,251846.0,93789.0,185.71984,684198.0,80.9320652173913,732.5516304347826,500.9972826086956,112.67934782608695,508.88315217391306,400.0326086956522,91739.07009,4.66
2011-10-01,52.81,4.06,282159.0,100000.0,158.85995,574932.0,64.39117647058823,764.364705882353,425.38235294117646,94.84117647058824,536.4323529411764,352.78823529411767,78819.20708,4.43
2011-11-01,52.93,3.58,248908.0,97991.0,107.36985,542546.0,58.99293286219081,778.9681978798586,357.565371024735,99.12014134275618,462.47703180212017,284.4028268551237,75441.29818,4.19
2011-12-01,53.17,3.66,297733.0,100764.0,120.6536,613894.0,57.0,752.4014336917563,305.44086021505376,80.76344086021506,428.5340501792115,222.88888888888889,86121.62582,4.12
2012-01-01,53.71,3.27,281131.0,106430.0,95.31986,648823.0,50.172881355932205,783.0847457627119,326.7322033898305,98.54915254237288,458.8508474576272,268.8,90760.88378,3.77
2012-02-01,54.08,2.86,269906.0,97616.0,135.24034,644530.0,73.3951048951049,794.1958041958042,423.26573426573424,104.92307692307692,387.3706293706294,280.8251748251748,90609.78234,3.42
2012-03-01,54.69,2.36,265152.0,104749.0,231.22839,674099.0,75.98907103825137,784.6284153005464,497.7568306010929,136.8415300546448,499.09289617486337,409.2950819672131,92250.65327,3.05
2012-04-01,54.92,2.04,243018.0,101082.0,318.72331,714338.0,111.08205128205128,703.0769230769231,552.751282051282,157.77179487179487,408.4846153846154,418.0948717948718,94828.59637,2.78
2012-05-01,55.28,2.29,259023.0,104881.0,462.59684,812467.0,108.06094808126412,692.3250564334086,574.8306997742663,156.40180586907448,520.6659142212189,514.0225733634312,107351.81228,3.0
2012-06-01,55.34,2.35,259732.0,100854.0,527.06764,879881.0,108.52666666666669,666.3333333333334,565.5644444444445,144.56222222222223,528.6844444444445,512.4022222222222,115597.50323,3.18
2012-07-01,55.39,2.78,281166.0,106909.0,509.51028,1081688.0,98.7511210762332,697.6883408071749,569.322869955157,118.66816143497758,610.9887892376681,539.5089686098655,138862.84998,3.51
2012-08-01,55.29,2.83,281350.0,106383.0,461.41088,1003938.0,108.87951807228916,674.5614457831325,543.8048192771084,141.43855421686746,527.9277108433735,484.8289156626506,131735.86442,3.58
2012-09-01,55.31,2.67,257990.0,103542.0,458.10265,802588.0,92.01362397820164,705.7874659400545,495.9618528610354,128.64305177111717,542.6239782016348,444.0599455040872,108012.30069,3.49
2012-10-01,55.21,3.16,253402.0,107225.0,431.42698,669195.0,62.59117647058824,773.8823529411765,424.8411764705882,105.7235294117647,499.6470588235294,343.40588235294115,91725.37056,3.93
2012-11-01,55.23,4.03,233853.0,103915.0,347.27595,579745.0,53.804964539007095,789.8439716312057,354.709219858156,104.63475177304964,501.677304964539,307.3617021276596,80169.46107,4.35
2012-12-01,55.27,3.93,252066.0,106427.0,348.77212,599502.0,55.08960573476703,761.5985663082437,306.47670250896056,94.25448028673836,371.13978494623655,220.71326164874552,83989.0974,4.31
2013-01-01,54.95,4.14,278078.0,113389.0,309.82386,631685.0,53.858108108108105,785.5371621621622,331.9493243243243,94.98648648648648,403.8175675675676,238.1824324324324,88559.05007,4.49
2013-02-01,54.72,3.99,236875.0,102714.0,432.64262,568388.0,69.3588850174216,803.7909407665505,424.58188153310107,111.68989547038328,441.6898954703833,309.9024390243902,80283.07377,4.5
2013-03-01,53.93,3.84,248290.0,113413.0,619.39901,603910.0,83.91232876712328,777.5972602739726,503.9369863013698,143.6986301369863,490.17534246575343,417.1342465753424,84725.25919,4.4
2013-04-01,53.51,3.98,220608.0,111172.0,666.73879,564827.0,108.19280205655528,724.9562982005141,563.1182519280205,182.8611825192802,369.146529562982,417.6760925449872,78036.43182,4.79
2013-05-01,53.3,3.94,234183.0,114485.0,752.70649,614808.0,107.69074492099324,684.234762979684,570.9029345372461,185.43566591422123,378.36794582392776,446.5056433408578,83815.59186,4.75
2013-06-01,53.28,3.9,236690.0,110629.0,870.68502,737150.0,102.1288888888889,678.7111111111111,564.8244444444445,149.35555555555555,507.0244444444445,502.24888888888887,99615.06431,4.54
2013-07-01,53.07,3.41,236199.0,116574.0,828.84727,911124.0,103.87668161434978,680.4282511210762,565.3094170403588,153.4798206278027,455.5470852017937,466.4865470852018,120770.9808,4.31
2013-08-01,53.01,3.17,236248.0,116323.0,944.09174,900530.0,100.9132530120482,683.2867469879518,540.8240963855421,151.76626506024095,453.0915662650602,445.7734939759036,121156.39696,4.0
2013-09-01,53.06,3.49,243881.0,112278.0,948.77866,751482.0,77.98637602179836,728.9373297002725,494.6021798365123,108.53678474114442,514.58310626703,402.8256130790191,102063.23334,4.18
2013-10-01,53.02,3.4,220430.0,116372.0,987.53341,637038.0,61.33235294117648,774.3882352941176,424.6941176470588,109.55588235294118,495.48823529411766,341.3970588235294,88587.40151,4.21
2013-11-01,52.82,3.77,218693.0,113771.0,824.35218,601019.0,54.8936170212766,792.145390070922,356.7588652482269,90.12765957446808,530.4219858156029,296.5177304964539,84286.78492,4.3
2013-12-01,52.42,4.75,273181.0,115591.0,850.02134,668792.0,51.37275985663082,777.3727598566309,307.01075268817203,92.93548387096774,459.0358422939068,251.6272401433692,92936.2913,5.04
2014-01-01,52.27,7.15,295356.0,128592.0,751.11873,662881.0,52.21694915254237,781.9322033898305,329.271186440678,98.90508474576272,412.6576271186441,252.3152542372881,91062.48197,7.2
2014-02-01,52.05,9.11,245422.0,118898.0,834.9922,551109.0,69.7132867132867,818.548951048951,430.55594405594405,112.83566433566432,399.6958041958042,294.4020979020979,75945.20996,7.59
2014-03-01,52.02,8.12,234189.0,132589.0,1317.09371,560808.0,75.84109589041095,806.0383561643836,506.0493150684932,147.02739726027397,472.2630136986301,402.84657534246577,78154.34115,6.16
2014-04-01,52.19,5.11,200669.0,131451.0,1487.09725,548899.0,102.8560411311054,735.0694087403599,562.9228791773779,173.560411311054,376.1748071979434,418.0231362467866,76784.84902,5.2
2014-05-01,52.23,4.6,206657.0,135099.0,1749.65461,646929.0,105.70428893905192,696.2212189616253,573.0925507900678,178.44243792325057,427.11512415349887,466.0654627539503,89120.78275,5.07
2014-06-01,52.16,5.32,201655.0,131416.0,1923.32588,720750.0,95.46444444444444,694.0688888888889,568.6511111111112,155.5088888888889,446.1022222222222,469.62,98469.55616,4.98
2014-07-01,52.08,4.77,201176.0,138684.0,1787.69886,843303.0,93.79372197309416,711.2825112107623,573.0470852017937,134.2443946188341,541.4529147982063,510.4506726457399,115083.44611,4.57
2014-08-01,52.02,3.87,206554.0,139439.0,1879.48203,897806.0,87.07951807228916,717.9614457831325,546.3036144578314,133.93734939759037,527.6313253012048,483.51807228915663,122350.00526,4.24
2014-09-01,51.96,4.24,201622.0,134893.0,1832.26056,770947.0,76.31880108991825,738.5122615803815,497.9482288828338,116.89100817438693,520.6839237057221,413.9591280653951,106583.6804,4.33
2014-10-01,52.25,3.87,220858.0,140772.0,1716.92302,703390.0,58.60588235294118,783.8176470588236,425.2676470588235,100.15,573.1235294117647,369.4764705882353,97684.69687,4.23
2014-11-01,52.05,3.97,227485.0,135360.0,1379.63993,600392.0,53.80141843971632,800.0248226950355,359.3723404255319,108.22695035460993,455.36879432624113,287.65248226950354,84355.8568,4.62
2014-12-01,52.53,4.44,253736.0,140956.0,1031.74441,638769.0,58.88530465949821,737.8888888888889,302.98566308243727,93.90322580645162,285.44802867383515,184.7168458781362,91040.2099,4.5
2015-01-01,52.74,4.75,279397.0,143561.0,1155.35063,711324.0,49.76610169491526,786.9796610169492,327.64406779661016,90.51525423728812,478.671186440678,265.8542372881356,101690.97336,4.24
2015-02-01,52.81,5.46,254230.0,130312.0,1483.55386,648343.0,63.13286713286713,817.2342657342657,421.65734265734267,141.74125874125875,399.57342657342656,315.96853146853147,91440.16871,4.85
2015-03-01,53.22,3.9,257274.0,144911.0,2072.25703,708731.0,68.03287671232877,815.2904109589041,501.6931506849315,120.27123287671232,585.0876712328767,442.758904109589,99550.14498,3.66
2015-04-01,53.34,2.59,205120.0,142261.0,2379.11811,664276.0,103.20308483290488,728.758354755784,559.521850899743,182.56298200514132,390.6992287917738,433.82519280205656,92855.54624,3.21
2015-05-01,53.31,2.52,204348.0,144887.0,2504.14881,734486.0,101.96162528216703,696.4875846501129,570.3205417607223,170.82618510158014,336.81264108352144,403.8735891647855,101624.6975,3.25
2015-06-01,53.45,2.56,206273.0,139887.0,2557.5982,886475.0,93.35555555555555,690.7622222222222,563.0422222222222,156.29111111111112,459.6644444444444,469.5733333333333,121567.81122,3.23
