Date,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2016-01-01,55.5728813559322,760.2372881355932,325.5728813559322,97.8406779661017,366.64406779661016,234.1084745762712
2016-02-01,62.94755244755245,823.1468531468531,423.6468531468532,105.63286713286713,462.1468531468532,316.24475524475525
2016-03-01,71.95901639344262,803.016393442623,501.77868852459017,130.8224043715847,496.4945355191257,409.96448087431696
2016-04-01,95.70769230769231,746.4538461538461,560.3128205128205,144.6871794871795,443.4051282051282,423.4923076923077
2016-05-01,99.38063063063063,705.0653153153153,573.5157657657658,154.11711711711712,396.5045045045045,431.8310810810811
2016-06-01,96.85777777777778,688.3577777777778,565.8444444444444,119.72888888888889,587.4466666666667,536.8111111111111
2016-07-01,95.79596412556054,697.4775784753364,566.4215246636771,134.7645739910314,496.3318385650224,484.13004484304935
2016-08-01,90.60963855421687,708.6,544.8746987951807,143.9855421686747,437.73493975903614,427.6096385542169
2016-09-01,76.12806539509536,738.1198910081744,495.7820163487738,119.59673024523161,492.2970027247956,397.84196185286106
2016-10-01,60.03529411764706,769.9,420.1735294117647,109.5264705882353,510.16764705882355,355.4264705882353
2016-11-01,54.09929078014184,781.5957446808511,351.63829787234044,91.53191489361703,462.4503546099291,274.48581560283685
2016-12-01,51.58064516129032,780.4982078853046,307.9569892473118,91.52688172043011,398.9964157706093,227.14336917562724
