Date,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2009-01-01,52.4695945945946,772.706081081081,326.6756756756757,96.65878378378379,399.6283783783784,241.36486486486487
2009-02-01,66.69337979094077,805.6864111498257,422.89547038327527,127.34146341463415,411.25087108013935,322.29965156794424
2009-03-01,85.12876712328767,765.5013698630137,498.05205479452053,153.3890410958904,401.3808219178082,375.1506849315069
2009-04-01,114.26735218508998,705.0925449871465,557.9100257069409,158.7892030848329,405.254498714653,416.3033419023136
2009-05-01,110.95936794582393,678.7088036117382,569.8487584650113,158.98871331828443,414.8194130925508,446.2731376975169
2009-06-01,100.43333333333334,678.1466666666666,564.8288888888889,159.8,375.99333333333334,423.20222222222225
2009-07-01,95.23991031390135,703.8026905829596,570.1390134529148,142.72869955156952,497.73991031390136,486.6479820627803
2009-08-01,93.44096385542169,710.510843373494,549.3156626506025,135.60722891566266,542.3301204819277,486.43614457831325
2009-09-01,98.18801089918256,676.0245231607629,489.7820163487738,163.83378746594005,343.56948228882834,362.3324250681199
2009-10-01,65.65882352941176,761.4852941176471,424.58235294117645,88.85588235294118,348.90588235294115,253.30882352941177
2009-11-01,57.98581560283688,771.0390070921986,353.0070921985816,88.42198581560284,482.8758865248227,273.84397163120565
2009-12-01,61.630824372759854,753.8279569892474,310.5268817204301,78.18637992831542,183.5089605734767,134.38709677419354
