Date,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
1998-01-01,53.70169491525424,765.5966101694916,326.1796610169491,99.07457627118644,353.06101694915253,223.63389830508476
1998-02-01,66.50699300699301,788.5594405594405,414.75174825174827,120.25524475524476,354.1468531468532,272.3286713286713
1998-03-01,83.55890410958904,776.3342465753425,500.66301369863015,141.2164383561644,375.31780821917806,347.1123287671233
1998-04-01,94.08997429305913,764.3650385604113,567.5167095115681,161.0745501285347,435.53727506426736,430.6426735218509
1998-05-01,100.41534988713319,708.6523702031602,576.0902934537246,155.09255079006772,498.65914221218964,496.87133182844246
1998-06-01,85.39333333333333,736.0911111111111,581.86,124.52444444444444,540.1466666666666,493.7111111111111
1998-07-01,100.57174887892377,685.5179372197309,565.0336322869955,157.52242152466368,414.2937219730942,441.5134529147982
1998-08-01,92.94711538461539,710.6418269230769,547.5721153846154,139.23317307692307,524.9903846153846,472.3245192307692
1998-09-01,80.0679347826087,731.1114130434783,498.0625,111.07608695652173,558.0516304347826,430.5217391304348
1998-10-01,63.94705882352941,760.4147058823529,422.5911764705882,105.54117647058824,489.76176470588234,335.1029411764706
1998-11-01,60.216312056737586,760.0354609929078,351.5354609929078,92.58156028368795,384.6595744680851,240.26241134751774
1998-12-01,50.54838709677419,781.6129032258065,307.3440860215054,90.85663082437276,456.89964157706095,243.69175627240142
