Net generation for all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=~ELEC.GEN.SUN-US-99.M~~~~~&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202501&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
19:44:21 GMT-0400 (Atlantic Standard Time)
Data source: U.S. Energy Information Administration
Month,all utility-scale solar thousand megawatthours
Nov 2005,12.7552
Oct 2005,37.66515
Sep 2005,61.1077
Aug 2005,75.84548
Jul 2005,72.32901
Jun 2005,88.47625
May 2005,81.15271
Apr 2005,58.26325
Mar 2005,38.15709
Feb 2005,13.08154
Jan 2005,8.66754
Dec 2004,7.75776
Nov 2004,15.34157
Oct 2004,33.52109
Sep 2004,60.63169
Aug 2004,72.846
Jul 2004,82.10253
Jun 2004,87.876
May 2004,81.77573
Apr 2004,56.90189
Mar 2004,52.92945
Feb 2004,10.86173
Jan 2004,12.60957
Dec 2003,4.251
Nov 2003,14.031
Oct 2003,35.436
Sep 2003,55.857
Aug 2003,61.992
Jul 2003,62.407
Jun 2003,90.682
May 2003,67.962
Apr 2003,60.309
Mar 2003,50.02709
Feb 2003,17.83027
Jan 2003,13.21701
Dec 2002,4.307
Nov 2002,28.175
Oct 2002,30.956
Sep 2002,52.608
Aug 2002,74.925
Jul 2002,85.537
Jun 2002,95.543
May 2002,57.64
Apr 2002,45.858
Mar 2002,44.397
Feb 2002,23.565
Jan 2002,11.32
Dec 2001,4.036
Nov 2001,14.289
Oct 2001,20.813
Sep 2001,64.803
Aug 2001,85.299
Jul 2001,91.994
Jun 2001,91.143
May 2001,81.053
Apr 2001,38.759
Mar 2001,31.498
Feb 2001,12.568
Jan 2001,6.5
