Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,623099,-,-,-,40.01,-99.74,-6,705,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2023,1,1,0,30,0,0,0,0,0,0
2023,1,1,1,30,0,0,0,0,0,0
2023,1,1,2,30,0,0,0,0,0,0
2023,1,1,3,30,0,0,0,0,0,0
2023,1,1,4,30,0,0,0,0,0,0
2023,1,1,5,30,0,0,0,0,0,0
2023,1,1,6,30,0,0,0,0,0,0
2023,1,1,7,30,0,0,0,0,0,0
2023,1,1,8,30,23,408,52,19,159,30
2023,1,1,9,30,41,709,198,57,1,57
2023,1,1,10,30,52,826,333,121,35,133
2023,1,1,11,30,58,880,427,173,402,342
2023,1,1,12,30,59,902,468,185,386,360
2023,1,1,13,30,59,892,451,210,240,316
2023,1,1,14,30,56,852,379,80,3,81
2023,1,1,15,30,49,766,260,44,0,44
2023,1,1,16,30,34,562,111,27,0,27
2023,1,1,17,30,3,29,2,0,0,0
2023,1,1,18,30,0,0,0,0,0,0
2023,1,1,19,30,0,0,0,0,0,0
2023,1,1,20,30,0,0,0,0,0,0
2023,1,1,21,30,0,0,0,0,0,0
2023,1,1,22,30,0,0,0,0,0,0
2023,1,1,23,30,0,0,0,0,0,0
2023,1,2,0,30,0,0,0,0,0,0
2023,1,2,1,30,0,0,0,0,0,0
2023,1,2,2,30,0,0,0,0,0,0
2023,1,2,3,30,0,0,0,0,0,0
2023,1,2,4,30,0,0,0,0,0,0
2023,1,2,5,30,0,0,0,0,0,0
2023,1,2,6,30,0,0,0,0,0,0
2023,1,2,7,30,0,0,0,0,0,0
2023,1,2,8,30,28,251,46,6,0,6
2023,1,2,9,30,61,548,182,14,0,14
2023,1,2,10,30,82,676,312,12,0,12
2023,1,2,11,30,96,727,402,17,0,17
2023,1,2,12,30,100,753,443,26,0,26
2023,1,2,13,30,94,764,431,17,0,17
2023,1,2,14,30,85,730,363,15,0,15
2023,1,2,15,30,74,616,245,74,616,245
2023,1,2,16,30,49,375,101,46,342,94
2023,1,2,17,30,2,8,2,0,0,0
2023,1,2,18,30,0,0,0,0,0,0
2023,1,2,19,30,0,0,0,0,0,0
2023,1,2,20,30,0,0,0,0,0,0
2023,1,2,21,30,0,0,0,0,0,0
2023,1,2,22,30,0,0,0,0,0,0
2023,1,2,23,30,0,0,0,0,0,0
2023,1,3,0,30,0,0,0,0,0,0
2023,1,3,1,30,0,0,0,0,0,0
2023,1,3,2,30,0,0,0,0,0,0
2023,1,3,3,30,0,0,0,0,0,0
2023,1,3,4,30,0,0,0,0,0,0
2023,1,3,5,30,0,0,0,0,0,0
2023,1,3,6,30,0,0,0,0,0,0
2023,1,3,7,30,0,0,0,0,0,0
2023,1,3,8,30,30,269,49,16,0,16
2023,1,3,9,30,60,630,199,15,0,15
2023,1,3,10,30,71,799,344,108,2,109
2023,1,3,11,30,74,880,445,93,0,93
2023,1,3,12,30,74,912,490,155,0,155
2023,1,3,13,30,68,914,473,118,0,118
2023,1,3,14,30,62,881,399,65,0,65
2023,1,3,15,30,51,801,275,43,0,43
2023,1,3,16,30,34,614,121,27,331,74
2023,1,3,17,30,4,39,3,4,39,3
2023,1,3,18,30,0,0,0,0,0,0
2023,1,3,19,30,0,0,0,0,0,0
2023,1,3,20,30,0,0,0,0,0,0
2023,1,3,21,30,0,0,0,0,0,0
2023,1,3,22,30,0,0,0,0,0,0
2023,1,3,23,30,0,0,0,0,0,0
2023,1,4,0,30,0,0,0,0,0,0
2023,1,4,1,30,0,0,0,0,0,0
2023,1,4,2,30,0,0,0,0,0,0
2023,1,4,3,30,0,0,0,0,0,0
2023,1,4,4,30,0,0,0,0,0,0
2023,1,4,5,30,0,0,0,0,0,0
2023,1,4,6,30,0,0,0,0,0,0
2023,1,4,7,30,0,0,0,0,0,0
2023,1,4,8,30,27,348,52,22,0,22
2023,1,4,9,30,54,683,205,38,0,38
2023,1,4,10,30,66,826,349,116,0,116
2023,1,4,11,30,73,891,450,165,0,165
2023,1,4,12,30,74,917,494,112,689,428
2023,1,4,13,30,71,915,478,249,148,315
2023,1,4,14,30,63,884,403,205,48,223
2023,1,4,15,30,51,811,280,147,80,170
2023,1,4,16,30,35,626,125,43,397,100
2023,1,4,17,30,4,41,3,3,31,2
2023,1,4,18,30,0,0,0,0,0,0
2023,1,4,19,30,0,0,0,0,0,0
2023,1,4,20,30,0,0,0,0,0,0
2023,1,4,21,30,0,0,0,0,0,0
2023,1,4,22,30,0,0,0,0,0,0
2023,1,4,23,30,0,0,0,0,0,0
2023,1,5,0,30,0,0,0,0,0,0
2023,1,5,1,30,0,0,0,0,0,0
2023,1,5,2,30,0,0,0,0,0,0
2023,1,5,3,30,0,0,0,0,0,0
2023,1,5,4,30,0,0,0,0,0,0
2023,1,5,5,30,0,0,0,0,0,0
2023,1,5,6,30,0,0,0,0,0,0
2023,1,5,7,30,0,0,0,0,0,0
2023,1,5,8,30,24,463,57,24,463,57
2023,1,5,9,30,45,771,216,45,771,216
2023,1,5,10,30,56,892,362,56,892,362
2023,1,5,11,30,60,949,463,60,949,463
2023,1,5,12,30,62,971,508,62,971,508
2023,1,5,13,30,61,965,492,61,965,492
2023,1,5,14,30,57,930,417,57,930,417
2023,1,5,15,30,50,837,288,50,837,288
2023,1,5,16,30,35,645,130,35,645,130
2023,1,5,17,30,4,43,3,2,0,2
2023,1,5,18,30,0,0,0,0,0,0
2023,1,5,19,30,0,0,0,0,0,0
2023,1,5,20,30,0,0,0,0,0,0
2023,1,5,21,30,0,0,0,0,0,0
2023,1,5,22,30,0,0,0,0,0,0
2023,1,5,23,30,0,0,0,0,0,0
2023,1,6,0,30,0,0,0,0,0,0
2023,1,6,1,30,0,0,0,0,0,0
2023,1,6,2,30,0,0,0,0,0,0
2023,1,6,3,30,0,0,0,0,0,0
2023,1,6,4,30,0,0,0,0,0,0
2023,1,6,5,30,0,0,0,0,0,0
2023,1,6,6,30,0,0,0,0,0,0
