Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,623099,-,-,-,40.01,-99.74,-6,705,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2008,1,1,0,30,0,0,0,0,0,0
2008,1,1,1,30,0,0,0,0,0,0
2008,1,1,2,30,0,0,0,0,0,0
2008,1,1,3,30,0,0,0,0,0,0
2008,1,1,4,30,0,0,0,0,0,0
2008,1,1,5,30,0,0,0,0,0,0
2008,1,1,6,30,0,0,0,0,0,0
2008,1,1,7,30,0,0,0,0,0,0
2008,1,1,8,30,23,474,56,23,474,56
2008,1,1,9,30,47,772,217,47,772,217
2008,1,1,10,30,60,892,363,60,892,363
2008,1,1,11,30,69,944,464,69,944,464
2008,1,1,12,30,73,962,509,73,962,509
2008,1,1,13,30,72,953,491,72,953,491
2008,1,1,14,30,66,917,413,66,917,413
2008,1,1,15,30,54,834,283,54,834,283
2008,1,1,16,30,35,639,122,35,639,122
2008,1,1,17,30,0,0,0,0,0,0
2008,1,1,18,30,0,0,0,0,0,0
2008,1,1,19,30,0,0,0,0,0,0
2008,1,1,20,30,0,0,0,0,0,0
2008,1,1,21,30,0,0,0,0,0,0
2008,1,1,22,30,0,0,0,0,0,0
2008,1,1,23,30,0,0,0,0,0,0
2008,1,2,0,30,0,0,0,0,0,0
2008,1,2,1,30,0,0,0,0,0,0
2008,1,2,2,30,0,0,0,0,0,0
2008,1,2,3,30,0,0,0,0,0,0
2008,1,2,4,30,0,0,0,0,0,0
2008,1,2,5,30,0,0,0,0,0,0
2008,1,2,6,30,0,0,0,0,0,0
2008,1,2,7,30,0,0,0,0,0,0
2008,1,2,8,30,23,476,57,14,0,14
2008,1,2,9,30,46,773,216,46,773,216
2008,1,2,10,30,59,889,361,59,889,361
2008,1,2,11,30,66,942,462,66,942,462
2008,1,2,12,30,68,953,501,68,953,501
2008,1,2,13,30,66,945,483,66,945,483
2008,1,2,14,30,60,911,406,60,911,406
2008,1,2,15,30,51,827,280,51,827,280
2008,1,2,16,30,34,624,120,34,624,120
2008,1,2,17,30,0,0,0,0,0,0
2008,1,2,18,30,0,0,0,0,0,0
2008,1,2,19,30,0,0,0,0,0,0
2008,1,2,20,30,0,0,0,0,0,0
2008,1,2,21,30,0,0,0,0,0,0
2008,1,2,22,30,0,0,0,0,0,0
2008,1,2,23,30,0,0,0,0,0,0
2008,1,3,0,30,0,0,0,0,0,0
2008,1,3,1,30,0,0,0,0,0,0
2008,1,3,2,30,0,0,0,0,0,0
2008,1,3,3,30,0,0,0,0,0,0
2008,1,3,4,30,0,0,0,0,0,0
2008,1,3,5,30,0,0,0,0,0,0
2008,1,3,6,30,0,0,0,0,0,0
2008,1,3,7,30,0,0,0,0,0,0
2008,1,3,8,30,22,464,55,24,0,24
2008,1,3,9,30,44,759,211,44,759,211
2008,1,3,10,30,54,880,354,54,880,354
2008,1,3,11,30,60,934,453,60,934,453
2008,1,3,12,30,63,953,497,63,953,497
2008,1,3,13,30,63,953,485,63,953,485
2008,1,3,14,30,59,916,409,59,916,409
2008,1,3,15,30,51,830,283,100,4,101
2008,1,3,16,30,34,641,124,34,641,124
2008,1,3,17,30,0,0,0,0,0,0
2008,1,3,18,30,0,0,0,0,0,0
2008,1,3,19,30,0,0,0,0,0,0
2008,1,3,20,30,0,0,0,0,0,0
2008,1,3,21,30,0,0,0,0,0,0
2008,1,3,22,30,0,0,0,0,0,0
2008,1,3,23,30,0,0,0,0,0,0
2008,1,4,0,30,0,0,0,0,0,0
2008,1,4,1,30,0,0,0,0,0,0
2008,1,4,2,30,0,0,0,0,0,0
2008,1,4,3,30,0,0,0,0,0,0
2008,1,4,4,30,0,0,0,0,0,0
2008,1,4,5,30,0,0,0,0,0,0
2008,1,4,6,30,0,0,0,0,0,0
2008,1,4,7,30,0,0,0,0,0,0
2008,1,4,8,30,23,417,52,27,1,27
2008,1,4,9,30,49,710,206,94,1,95
2008,1,4,10,30,63,831,347,63,831,347
2008,1,4,11,30,70,891,446,70,891,446
2008,1,4,12,30,70,925,493,70,925,493
2008,1,4,13,30,66,924,477,66,924,477
2008,1,4,14,30,60,884,400,60,884,400
2008,1,4,15,30,52,795,276,52,795,276
2008,1,4,16,30,35,600,121,35,600,121
2008,1,4,17,30,0,0,0,0,0,0
2008,1,4,18,30,0,0,0,0,0,0
2008,1,4,19,30,0,0,0,0,0,0
2008,1,4,20,30,0,0,0,0,0,0
2008,1,4,21,30,0,0,0,0,0,0
2008,1,4,22,30,0,0,0,0,0,0
2008,1,4,23,30,0,0,0,0,0,0
2008,1,5,0,30,0,0,0,0,0,0
2008,1,5,1,30,0,0,0,0,0,0
2008,1,5,2,30,0,0,0,0,0,0
2008,1,5,3,30,0,0,0,0,0,0
2008,1,5,4,30,0,0,0,0,0,0
2008,1,5,5,30,0,0,0,0,0,0
2008,1,5,6,30,0,0,0,0,0,0
2008,1,5,7,30,0,0,0,0,0,0
2008,1,5,8,30,21,462,54,26,1,26
2008,1,5,9,30,42,752,209,32,0,32
2008,1,5,10,30,54,862,350,54,0,54
2008,1,5,11,30,60,913,446,142,3,144
2008,1,5,12,30,64,926,489,150,3,152
2008,1,5,13,30,64,913,472,238,59,264
2008,1,5,14,30,60,876,399,215,91,250
2008,1,5,15,30,49,796,275,155,41,167
2008,1,5,16,30,32,621,123,66,10,67
2008,1,5,17,30,0,0,0,0,0,0
2008,1,5,18,30,0,0,0,0,0,0
2008,1,5,19,30,0,0,0,0,0,0
2008,1,5,20,30,0,0,0,0,0,0
2008,1,5,21,30,0,0,0,0,0,0
2008,1,5,22,30,0,0,0,0,0,0
2008,1,5,23,30,0,0,0,0,0,0
2008,1,6,0,30,0,0,0,0,0,0
2008,1,6,1,30,0,0,0,0,0,0
2008,1,6,2,30,0,0,0,0,0,0
2008,1,6,3,30,0,0,0,0,0,0
2008,1,6,4,30,0,0,0,0,0,0
2008,1,6,5,30,0,0,0,0,0,0
2008,1,6,6,30,0,0,0,0,0,0
2008,1,6,7,30,0,0,0,0,0,0
2008,1,6,8,30,23,421,52,27,1,27
2008,1,6,9,30,46,725,207,32,0,32
2008,1,6,10,30,60,842,349,40,0,40
2008,1,6,11,30,71,890,449,32,0,32
2008,1,6,12,30,76,905,493,82,0,83
2008,1,6,13,30,74,906,480,200,13,206
2008,1,6,14,30,67,874,407,151,6,153
2008,1,6,15,30,55,802,284,117,8,120
2008,1,6,16,30,37,622,129,53,2,53
2008,1,6,17,30,0,0,0,0,0,0
2008,1,6,18,30,0,0,0,0,0,0
2008,1,6,19,30,0,0,0,0,0,0
2008,1,6,20,30,0,0,0,0,0,0
2008,1,6,21,30,0,0,0,0,0,0
2008,1,6,22,30,0,0,0,0,0,0
2008,1,6,23,30,0,0,0,0,0,0
2008,1,7,0,30,0,0,0,0,0,0
2008,1,7,1,30,0,0,0,0,0,0
2008,1,7,2,30,0,0,0,0,0,0
2008,1,7,3,30,0,0,0,0,0,0
2008,1,7,4,30,0,0,0,0,0,0
2008,1,7,5,30,0,0,0,0,0,0
2008,1,7,6,30,0,0,0,0,0,0
2008,1,7,7,30,0,0,0,0,0,0
2008,1,7,8,30,22,431,53,31,2,32
2008,1,7,9,30,43,747,210,10,0,10
2008,1,7,10,30,53,877,355,53,877,355
2008,1,7,11,30,57,933,455,57,933,455
2008,1,7,12,30,58,961,503,126,2,127
2008,1,7,13,30,56,956,487,159,0,159
2008,1,7,14,30,54,921,414,54,921,414
2008,1,7,15,30,46,844,289,72,1,72
2008,1,7,16,30,32,666,133,72,9,73
2008,1,7,17,30,0,0,0,0,0,0
2008,1,7,18,30,0,0,0,0,0,0
2008,1,7,19,30,0,0,0,0,0,0
2008,1,7,20,30,0,0,0,0,0,0
2008,1,7,21,30,0,0,0,0,0,0
2008,1,7,22,30,0,0,0,0,0,0
2008,1,7,23,30,0,0,0,0,0,0
2008,1,8,0,30,0,0,0,0,0,0
2008,1,8,1,30,0,0,0,0,0,0
2008,1,8,2,30,0,0,0,0,0,0
2008,1,8,3,30,0,0,0,0,0,0
2008,1,8,4,30,0,0,0,0,0,0
2008,1,8,5,30,0,0,0,0,0,0
2008,1,8,6,30,0,0,0,0,0,0
2008,1,8,7,30,0,0,0,0,0,0
2008,1,8,8,30,23,423,54,21,0,21
2008,1,8,9,30,47,751,215,47,751,215
2008,1,8,10,30,57,893,365,57,893,365
2008,1,8,11,30,60,953,468,60,953,468
2008,1,8,12,30,68,976,521,68,976,521
2008,1,8,13,30,66,972,507,66,972,507
2008,1,8,14,30,61,939,431,61,939,431
2008,1,8,15,30,52,862,304,52,862,304
2008,1,8,16,30,36,686,142,36,686,142
2008,1,8,17,30,0,0,0,0,0,0
2008,1,8,18,30,0,0,0,0,0,0
2008,1,8,19,30,0,0,0,0,0,0
2008,1,8,20,30,0,0,0,0,0,0
2008,1,8,21,30,0,0,0,0,0,0
2008,1,8,22,30,0,0,0,0,0,0
2008,1,8,23,30,0,0,0,0,0,0
2008,1,9,0,30,0,0,0,0,0,0
2008,1,9,1,30,0,0,0,0,0,0
2008,1,9,2,30,0,0,0,0,0,0
2008,1,9,3,30,0,0,0,0,0,0
2008,1,9,4,30,0,0,0,0,0,0
2008,1,9,5,30,0,0,0,0,0,0
2008,1,9,6,30,0,0,0,0,0,0
2008,1,9,7,30,0,0,0,0,0,0
2008,1,9,8,30,24,395,53,32,2,32
2008,1,9,9,30,49,712,209,59,1,59
2008,1,9,10,30,62,843,354,58,0,58
2008,1,9,11,30,69,896,453,42,0,42
2008,1,9,12,30,72,917,499,149,2,150
2008,1,9,13,30,71,911,485,270,78,305
2008,1,9,14,30,64,879,413,193,23,202
2008,1,9,15,30,54,801,290,154,29,162
2008,1,9,16,30,37,624,134,82,18,85
2008,1,9,17,30,0,0,0,0,0,0
2008,1,9,18,30,0,0,0,0,0,0
2008,1,9,19,30,0,0,0,0,0,0
2008,1,9,20,30,0,0,0,0,0,0
2008,1,9,21,30,0,0,0,0,0,0
2008,1,9,22,30,0,0,0,0,0,0
2008,1,9,23,30,0,0,0,0,0,0
2008,1,10,0,30,0,0,0,0,0,0
2008,1,10,1,30,0,0,0,0,0,0
2008,1,10,2,30,0,0,0,0,0,0
2008,1,10,3,30,0,0,0,0,0,0
2008,1,10,4,30,0,0,0,0,0,0
2008,1,10,5,30,0,0,0,0,0,0
2008,1,10,6,30,0,0,0,0,0,0
2008,1,10,7,30,0,0,0,0,0,0
2008,1,10,8,30,22,441,54,20,0,20
2008,1,10,9,30,43,756,214,103,2,104
2008,1,10,10,30,54,883,362,54,883,362
2008,1,10,11,30,60,946,468,60,946,468
2008,1,10,12,30,70,953,517,70,953,517
2008,1,10,13,30,68,961,508,68,961,508
2008,1,10,14,30,62,919,429,62,919,429
2008,1,10,15,30,53,843,304,53,843,304
2008,1,10,16,30,37,670,144,37,670,144
2008,1,10,17,30,0,0,0,0,0,0
2008,1,10,18,30,0,0,0,0,0,0
2008,1,10,19,30,0,0,0,0,0,0
2008,1,10,20,30,0,0,0,0,0,0
2008,1,10,21,30,0,0,0,0,0,0
2008,1,10,22,30,0,0,0,0,0,0
2008,1,10,23,30,0,0,0,0,0,0
2008,1,11,0,30,0,0,0,0,0,0
2008,1,11,1,30,0,0,0,0,0,0
2008,1,11,2,30,0,0,0,0,0,0
2008,1,11,3,30,0,0,0,0,0,0
2008,1,11,4,30,0,0,0,0,0,0
