Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,623099,-,-,-,40.01,-99.74,-6,705,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
1999,1,1,0,30,0,0,0,0,0,0
1999,1,1,1,30,0,0,0,0,0,0
1999,1,1,2,30,0,0,0,0,0,0
1999,1,1,3,30,0,0,0,0,0,0
1999,1,1,4,30,0,0,0,0,0,0
1999,1,1,5,30,0,0,0,0,0,0
1999,1,1,6,30,0,0,0,0,0,0
1999,1,1,7,30,0,0,0,0,0,0
1999,1,1,8,30,30,240,47,30,1,30
1999,1,1,9,30,75,523,191,97,7,98
1999,1,1,10,30,106,650,327,26,0,26
1999,1,1,11,30,122,726,426,38,0,38
1999,1,1,12,30,137,725,466,170,0,170
1999,1,1,13,30,142,692,446,228,1,228
1999,1,1,14,30,131,630,370,130,0,130
1999,1,1,15,30,113,475,244,116,0,116
1999,1,1,16,30,63,253,97,82,8,83
1999,1,1,17,30,0,0,0,0,0,0
1999,1,1,18,30,0,0,0,0,0,0
1999,1,1,19,30,0,0,0,0,0,0
1999,1,1,20,30,0,0,0,0,0,0
1999,1,1,21,30,0,0,0,0,0,0
1999,1,1,22,30,0,0,0,0,0,0
1999,1,1,23,30,0,0,0,0,0,0
1999,1,2,0,30,0,0,0,0,0,0
1999,1,2,1,30,0,0,0,0,0,0
1999,1,2,2,30,0,0,0,0,0,0
1999,1,2,3,30,0,0,0,0,0,0
1999,1,2,4,30,0,0,0,0,0,0
1999,1,2,5,30,0,0,0,0,0,0
1999,1,2,6,30,0,0,0,0,0,0
1999,1,2,7,30,0,0,0,0,0,0
1999,1,2,8,30,25,417,55,25,417,55
1999,1,2,9,30,54,728,214,54,728,214
1999,1,2,10,30,72,857,364,72,857,364
1999,1,2,11,30,82,913,466,82,913,466
1999,1,2,12,30,86,936,511,86,936,511
1999,1,2,13,30,84,929,493,84,929,493
1999,1,2,14,30,77,890,415,77,890,415
1999,1,2,15,30,64,799,285,64,799,285
1999,1,2,16,30,41,588,123,41,588,123
1999,1,2,17,30,0,0,0,0,0,0
1999,1,2,18,30,0,0,0,0,0,0
1999,1,2,19,30,0,0,0,0,0,0
1999,1,2,20,30,0,0,0,0,0,0
1999,1,2,21,30,0,0,0,0,0,0
1999,1,2,22,30,0,0,0,0,0,0
1999,1,2,23,30,0,0,0,0,0,0
1999,1,3,0,30,0,0,0,0,0,0
1999,1,3,1,30,0,0,0,0,0,0
1999,1,3,2,30,0,0,0,0,0,0
1999,1,3,3,30,0,0,0,0,0,0
1999,1,3,4,30,0,0,0,0,0,0
1999,1,3,5,30,0,0,0,0,0,0
1999,1,3,6,30,0,0,0,0,0,0
1999,1,3,7,30,0,0,0,0,0,0
1999,1,3,8,30,24,470,57,24,470,57
1999,1,3,9,30,46,784,219,46,784,219
1999,1,3,10,30,55,906,364,55,906,364
1999,1,3,11,30,61,961,465,61,961,465
1999,1,3,12,30,62,981,509,62,981,509
1999,1,3,13,30,61,975,493,61,975,493
1999,1,3,14,30,56,941,416,56,941,416
1999,1,3,15,30,47,864,289,167,32,176
1999,1,3,16,30,33,680,129,55,1,55
1999,1,3,17,30,0,0,0,0,0,0
1999,1,3,18,30,0,0,0,0,0,0
1999,1,3,19,30,0,0,0,0,0,0
1999,1,3,20,30,0,0,0,0,0,0
1999,1,3,21,30,0,0,0,0,0,0
1999,1,3,22,30,0,0,0,0,0,0
1999,1,3,23,30,0,0,0,0,0,0
1999,1,4,0,30,0,0,0,0,0,0
1999,1,4,1,30,0,0,0,0,0,0
1999,1,4,2,30,0,0,0,0,0,0
1999,1,4,3,30,0,0,0,0,0,0
1999,1,4,4,30,0,0,0,0,0,0
1999,1,4,5,30,0,0,0,0,0,0
1999,1,4,6,30,0,0,0,0,0,0
1999,1,4,7,30,0,0,0,0,0,0
1999,1,4,8,30,20,527,57,20,527,57
1999,1,4,9,30,37,814,218,37,814,218
1999,1,4,10,30,47,924,363,47,924,363
1999,1,4,11,30,52,975,464,52,975,464
1999,1,4,12,30,54,993,509,54,993,509
1999,1,4,13,30,55,969,486,55,969,486
1999,1,4,14,30,53,919,407,53,919,407
1999,1,4,15,30,47,814,277,47,814,277
1999,1,4,16,30,34,610,121,34,610,121
1999,1,4,17,30,0,0,0,0,0,0
1999,1,4,18,30,0,0,0,0,0,0
1999,1,4,19,30,0,0,0,0,0,0
1999,1,4,20,30,0,0,0,0,0,0
1999,1,4,21,30,0,0,0,0,0,0
1999,1,4,22,30,0,0,0,0,0,0
1999,1,4,23,30,0,0,0,0,0,0
1999,1,5,0,30,0,0,0,0,0,0
1999,1,5,1,30,0,0,0,0,0,0
1999,1,5,2,30,0,0,0,0,0,0
1999,1,5,3,30,0,0,0,0,0,0
1999,1,5,4,30,0,0,0,0,0,0
1999,1,5,5,30,0,0,0,0,0,0
1999,1,5,6,30,0,0,0,0,0,0
1999,1,5,7,30,0,0,0,0,0,0
1999,1,5,8,30,22,395,50,22,395,50
1999,1,5,9,30,43,704,199,118,53,129
1999,1,5,10,30,53,826,336,180,160,234
1999,1,5,11,30,61,877,432,197,315,331
1999,1,5,12,30,65,892,475,188,23,199
1999,1,5,13,30,65,883,459,213,49,235
1999,1,5,14,30,61,844,388,198,218,282
1999,1,5,15,30,51,767,269,148,88,173
1999,1,5,16,30,33,597,120,33,597,120
1999,1,5,17,30,0,0,0,0,0,0
1999,1,5,18,30,0,0,0,0,0,0
1999,1,5,19,30,0,0,0,0,0,0
1999,1,5,20,30,0,0,0,0,0,0
1999,1,5,21,30,0,0,0,0,0,0
1999,1,5,22,30,0,0,0,0,0,0
1999,1,5,23,30,0,0,0,0,0,0
1999,1,6,0,30,0,0,0,0,0,0
1999,1,6,1,30,0,0,0,0,0,0
1999,1,6,2,30,0,0,0,0,0,0
1999,1,6,3,30,0,0,0,0,0,0
1999,1,6,4,30,0,0,0,0,0,0
1999,1,6,5,30,0,0,0,0,0,0
1999,1,6,6,30,0,0,0,0,0,0
1999,1,6,7,30,0,0,0,0,0,0
1999,1,6,8,30,22,396,50,22,396,50
1999,1,6,9,30,48,675,199,48,675,199
1999,1,6,10,30,66,783,335,205,82,233
1999,1,6,11,30,76,836,431,89,0,89
1999,1,6,12,30,80,858,475,176,2,177
1999,1,6,13,30,76,864,463,158,1,158
1999,1,6,14,30,68,835,393,121,0,121
1999,1,6,15,30,56,763,275,17,0,17
1999,1,6,16,30,38,572,123,22,0,22
