Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,623099,-,-,-,40.01,-99.74,-6,705,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2014,1,1,0,30,0,0,0,0,0,0
2014,1,1,1,30,0,0,0,0,0,0
2014,1,1,2,30,0,0,0,0,0,0
2014,1,1,3,30,0,0,0,0,0,0
2014,1,1,4,30,0,0,0,0,0,0
2014,1,1,5,30,0,0,0,0,0,0
2014,1,1,6,30,0,0,0,0,0,0
2014,1,1,7,30,0,0,0,0,0,0
2014,1,1,8,30,30,222,46,19,0,19
2014,1,1,9,30,74,535,192,101,6,102
2014,1,1,10,30,93,710,335,224,90,254
2014,1,1,11,30,94,822,439,205,11,210
2014,1,1,12,30,90,882,490,218,10,222
2014,1,1,13,30,83,897,477,80,0,80
2014,1,1,14,30,72,869,401,125,2,126
2014,1,1,15,30,58,796,277,119,6,120
2014,1,1,16,30,37,593,118,76,11,77
2014,1,1,17,30,0,0,0,0,0,0
2014,1,1,18,30,0,0,0,0,0,0
2014,1,1,19,30,0,0,0,0,0,0
2014,1,1,20,30,0,0,0,0,0,0
2014,1,1,21,30,0,0,0,0,0,0
2014,1,1,22,30,0,0,0,0,0,0
2014,1,1,23,30,0,0,0,0,0,0
2014,1,2,0,30,0,0,0,0,0,0
2014,1,2,1,30,0,0,0,0,0,0
2014,1,2,2,30,0,0,0,0,0,0
2014,1,2,3,30,0,0,0,0,0,0
2014,1,2,4,30,0,0,0,0,0,0
2014,1,2,5,30,0,0,0,0,0,0
2014,1,2,6,30,0,0,0,0,0,0
2014,1,2,7,30,0,0,0,0,0,0
2014,1,2,8,30,21,466,54,21,466,54
2014,1,2,9,30,40,763,208,40,763,208
2014,1,2,10,30,48,881,348,48,881,348
2014,1,2,11,30,52,935,445,52,935,445
2014,1,2,12,30,58,946,489,58,946,489
2014,1,2,13,30,57,932,469,57,932,469
2014,1,2,14,30,54,896,395,54,896,395
2014,1,2,15,30,47,811,272,47,811,272
2014,1,2,16,30,32,612,118,32,612,118
2014,1,2,17,30,0,0,0,0,0,0
2014,1,2,18,30,0,0,0,0,0,0
2014,1,2,19,30,0,0,0,0,0,0
2014,1,2,20,30,0,0,0,0,0,0
2014,1,2,21,30,0,0,0,0,0,0
2014,1,2,22,30,0,0,0,0,0,0
2014,1,2,23,30,0,0,0,0,0,0
2014,1,3,0,30,0,0,0,0,0,0
2014,1,3,1,30,0,0,0,0,0,0
2014,1,3,2,30,0,0,0,0,0,0
2014,1,3,3,30,0,0,0,0,0,0
2014,1,3,4,30,0,0,0,0,0,0
2014,1,3,5,30,0,0,0,0,0,0
2014,1,3,6,30,0,0,0,0,0,0
2014,1,3,7,30,0,0,0,0,0,0
2014,1,3,8,30,21,440,52,21,440,52
2014,1,3,9,30,40,745,205,40,745,205
2014,1,3,10,30,47,869,344,47,869,344
2014,1,3,11,30,50,920,438,50,920,438
2014,1,3,12,30,55,934,481,55,934,481
2014,1,3,13,30,52,936,467,52,936,467
2014,1,3,14,30,47,905,393,47,905,393
2014,1,3,15,30,40,825,272,40,825,272
2014,1,3,16,30,29,634,119,29,634,119
2014,1,3,17,30,0,0,0,0,0,0
2014,1,3,18,30,0,0,0,0,0,0
2014,1,3,19,30,0,0,0,0,0,0
2014,1,3,20,30,0,0,0,0,0,0
2014,1,3,21,30,0,0,0,0,0,0
2014,1,3,22,30,0,0,0,0,0,0
2014,1,3,23,30,0,0,0,0,0,0
2014,1,4,0,30,0,0,0,0,0,0
2014,1,4,1,30,0,0,0,0,0,0
2014,1,4,2,30,0,0,0,0,0,0
2014,1,4,3,30,0,0,0,0,0,0
2014,1,4,4,30,0,0,0,0,0,0
2014,1,4,5,30,0,0,0,0,0,0
2014,1,4,6,30,0,0,0,0,0,0
2014,1,4,7,30,0,0,0,0,0,0
2014,1,4,8,30,26,342,50,19,0,19
2014,1,4,9,30,58,651,202,16,0,16
2014,1,4,10,30,75,792,346,42,0,42
2014,1,4,11,30,83,861,447,270,107,315
2014,1,4,12,30,86,891,494,224,16,232
2014,1,4,13,30,84,886,478,289,106,336
2014,1,4,14,30,75,861,407,198,21,207
2014,1,4,15,30,63,768,280,121,8,123
2014,1,4,16,30,41,576,125,81,15,83
2014,1,4,17,30,0,0,0,0,0,0
2014,1,4,18,30,0,0,0,0,0,0
2014,1,4,19,30,0,0,0,0,0,0
2014,1,4,20,30,0,0,0,0,0,0
2014,1,4,21,30,0,0,0,0,0,0
2014,1,4,22,30,0,0,0,0,0,0
2014,1,4,23,30,0,0,0,0,0,0
2014,1,5,0,30,0,0,0,0,0,0
2014,1,5,1,30,0,0,0,0,0,0
2014,1,5,2,30,0,0,0,0,0,0
2014,1,5,3,30,0,0,0,0,0,0
2014,1,5,4,30,0,0,0,0,0,0
2014,1,5,5,30,0,0,0,0,0,0
2014,1,5,6,30,0,0,0,0,0,0
2014,1,5,7,30,0,0,0,0,0,0
2014,1,5,8,30,23,450,55,34,2,34
2014,1,5,9,30,51,757,219,127,3,128
2014,1,5,10,30,69,869,367,227,110,265
2014,1,5,11,30,81,916,470,296,115,345
2014,1,5,12,30,102,889,511,327,156,399
2014,1,5,13,30,100,882,495,320,100,365
2014,1,5,14,30,86,859,419,269,88,303
2014,1,5,15,30,65,816,298,183,156,227
2014,1,5,16,30,39,654,136,86,185,113
2014,1,5,17,30,0,0,0,0,0,0
2014,1,5,18,30,0,0,0,0,0,0
2014,1,5,19,30,0,0,0,0,0,0
2014,1,5,20,30,0,0,0,0,0,0
2014,1,5,21,30,0,0,0,0,0,0
2014,1,5,22,30,0,0,0,0,0,0
2014,1,5,23,30,0,0,0,0,0,0
2014,1,6,0,30,0,0,0,0,0,0
2014,1,6,1,30,0,0,0,0,0,0
2014,1,6,2,30,0,0,0,0,0,0
2014,1,6,3,30,0,0,0,0,0,0
2014,1,6,4,30,0,0,0,0,0,0
2014,1,6,5,30,0,0,0,0,0,0
2014,1,6,6,30,0,0,0,0,0,0
2014,1,6,7,30,0,0,0,0,0,0
2014,1,6,8,30,20,559,60,20,559,60
2014,1,6,9,30,37,846,225,37,846,225
2014,1,6,10,30,45,957,374,45,957,374
2014,1,6,11,30,49,1008,478,49,1008,478
2014,1,6,12,30,56,995,516,56,995,516
2014,1,6,13,30,53,994,500,53,994,500
2014,1,6,14,30,47,966,424,47,966,424
2014,1,6,15,30,46,861,295,46,861,295
2014,1,6,16,30,32,689,136,32,689,136
2014,1,6,17,30,0,0,0,0,0,0
2014,1,6,18,30,0,0,0,0,0,0
