Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,623099,-,-,-,40.01,-99.74,-6,705,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
1998,1,1,0,30,0,0,0,0,0,0
1998,1,1,1,30,0,0,0,0,0,0
1998,1,1,2,30,0,0,0,0,0,0
1998,1,1,3,30,0,0,0,0,0,0
1998,1,1,4,30,0,0,0,0,0,0
1998,1,1,5,30,0,0,0,0,0,0
1998,1,1,6,30,0,0,0,0,0,0
1998,1,1,7,30,0,0,0,0,0,0
1998,1,1,8,30,18,478,52,18,478,52
1998,1,1,9,30,33,766,202,33,766,202
1998,1,1,10,30,40,873,337,40,873,337
1998,1,1,11,30,44,925,432,44,925,432
1998,1,1,12,30,45,948,475,45,948,475
1998,1,1,13,30,45,942,459,45,942,459
1998,1,1,14,30,42,912,388,42,912,388
1998,1,1,15,30,36,832,265,36,832,265
1998,1,1,16,30,26,646,114,26,646,114
1998,1,1,17,30,0,0,0,0,0,0
1998,1,1,18,30,0,0,0,0,0,0
1998,1,1,19,30,0,0,0,0,0,0
1998,1,1,20,30,0,0,0,0,0,0
1998,1,1,21,30,0,0,0,0,0,0
1998,1,1,22,30,0,0,0,0,0,0
1998,1,1,23,30,0,0,0,0,0,0
1998,1,2,0,30,0,0,0,0,0,0
1998,1,2,1,30,0,0,0,0,0,0
1998,1,2,2,30,0,0,0,0,0,0
1998,1,2,3,30,0,0,0,0,0,0
1998,1,2,4,30,0,0,0,0,0,0
1998,1,2,5,30,0,0,0,0,0,0
1998,1,2,6,30,0,0,0,0,0,0
1998,1,2,7,30,0,0,0,0,0,0
1998,1,2,8,30,20,465,52,28,2,28
1998,1,2,9,30,37,748,203,120,149,153
1998,1,2,10,30,46,864,340,181,132,226
1998,1,2,11,30,50,912,434,174,384,336
1998,1,2,12,30,53,930,476,187,399,369
1998,1,2,13,30,54,915,458,233,111,282
1998,1,2,14,30,51,879,386,198,184,268
1998,1,2,15,30,44,796,265,146,106,176
1998,1,2,16,30,31,602,115,64,9,65
1998,1,2,17,30,0,0,0,0,0,0
1998,1,2,18,30,0,0,0,0,0,0
1998,1,2,19,30,0,0,0,0,0,0
1998,1,2,20,30,0,0,0,0,0,0
1998,1,2,21,30,0,0,0,0,0,0
1998,1,2,22,30,0,0,0,0,0,0
1998,1,2,23,30,0,0,0,0,0,0
1998,1,3,0,30,0,0,0,0,0,0
1998,1,3,1,30,0,0,0,0,0,0
