Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,623099,-,-,-,40.01,-99.74,-6,705,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2022,1,1,0,30,0,0,0,0,0,0
2022,1,1,1,30,0,0,0,0,0,0
2022,1,1,2,30,0,0,0,0,0,0
2022,1,1,3,30,0,0,0,0,0,0
2022,1,1,4,30,0,0,0,0,0,0
2022,1,1,5,30,0,0,0,0,0,0
2022,1,1,6,30,0,0,0,0,0,0
2022,1,1,7,30,0,0,0,0,0,0
2022,1,1,8,30,31,300,52,20,0,20
2022,1,1,9,30,62,647,205,30,0,30
2022,1,1,10,30,80,788,348,68,0,68
2022,1,1,11,30,89,862,451,110,1,110
2022,1,1,12,30,92,888,495,169,4,171
2022,1,1,13,30,89,882,477,161,4,163
2022,1,1,14,30,80,842,400,211,35,224
2022,1,1,15,30,64,757,273,119,26,126
2022,1,1,16,30,40,559,117,54,3,54
2022,1,1,17,30,3,27,2,1,0,1
2022,1,1,18,30,0,0,0,0,0,0
2022,1,1,19,30,0,0,0,0,0,0
2022,1,1,20,30,0,0,0,0,0,0
2022,1,1,21,30,0,0,0,0,0,0
2022,1,1,22,30,0,0,0,0,0,0
2022,1,1,23,30,0,0,0,0,0,0
2022,1,2,0,30,0,0,0,0,0,0
2022,1,2,1,30,0,0,0,0,0,0
2022,1,2,2,30,0,0,0,0,0,0
2022,1,2,3,30,0,0,0,0,0,0
2022,1,2,4,30,0,0,0,0,0,0
2022,1,2,5,30,0,0,0,0,0,0
2022,1,2,6,30,0,0,0,0,0,0
2022,1,2,7,30,0,0,0,0,0,0
2022,1,2,8,30,21,504,57,21,504,57
2022,1,2,9,30,37,795,213,128,73,144
2022,1,2,10,30,47,898,353,179,346,297
2022,1,2,11,30,52,949,452,121,732,429
2022,1,2,12,30,56,960,493,56,960,493
2022,1,2,13,30,54,952,475,54,952,475
2022,1,2,14,30,51,916,400,51,916,400
2022,1,2,15,30,44,834,276,44,834,276
2022,1,2,16,30,29,649,120,29,649,120
2022,1,2,17,30,3,45,2,3,45,2
